Comment,Sentiment
Happy independence day ... Advanced❤,positive
Gfcvvcgcdswydzcxyjcio,neutral
Form Bihar❤ite lovely song🎵 😎,positive
Jai hind,neutral
❤😂,neutral
We all should  give respect to every Country and everyone.,positive
Please send easiest song of Desh bhakti in Hindi now I am in Canada 🙏,positive
Very nice,positive
🇮🇳🇮🇳,neutral
Jay hind,neutral
No matter if you are from the bottom tip of Sri Lanka or tippy top of the Himalayas this song always hits hard. The reason why it hits hard is something only we will understand. This region has taken hits many a great civilisation has never recovered from but we still persevere.,positive
Thank you,positive
❤❤❤🇮🇳🇮🇳🇮🇳🇮🇳,neutral
❤❤https://youtu.be/KaYBszvwF-U,neutral
❤❤https://youtu.be/KaYBszvwF-U 🎉🎉🎉,neutral
🇮🇳❤❤,neutral
Happy15august,neutral
2023.8.8,neutral
❤❤❤❤ I ❤ India,neutral
I won’t forget we sung in front of cm and all we laughed out together our music teacher be like why I let street dog sing in stage 😂😂😂😂,positive
Bharat mata ki jai 🙏🙏🥰🥰🙏🙏🥰,neutral
I proud  India,positive
Vande Mataram ko rashtra gaan ghoshit karna hoga jan gan man ko hata dena chahiye maine is chenal se nivedan krti hon ki wo vade mastaram ko rashtra gaan ghoshit krwanane ki apil karene sarkar se,neutral
I love my india,positive
Pakistan walo ko pata hai ke hamara bharat mahan hai to hame kitna proud hona chahiye...I Love India ♥️💞🤘😎🇮🇳🇮🇳...Respect Tirnga... Salute India......,positive
"I am from Maharashtra ❤and i am proud to be indian  
🇮🇳🇮🇳🕉️🕉️ and I am a maratha",positive
I am Kerala Karnatakan I love India,positive
Vande mataram 🇮🇳🇮🇳🇮🇳 Vande mataram 🇮🇳🇮🇳🇮🇳🇮🇳😍😍🥰,neutral
"I am from Tripura & I'm Bengali
Proud to be indian  💖💖💝💝💝💝💘💘💘💘💘🤍🤍🤍🤍❣️❣️❣️❣️💟💟💟💟💌💌💌💌💌💌💜💜💜💜💜💜❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛💚💚💚💚💚💚💚💚💚💚💙💙💙💙💙💙💙💙💙💙💙",positive
"Vandhey Matharam,  Jai Hind,  Bharat Mata ki Jai. ❤",neutral
I love may india,positive
ಶ್ರೀರಾಮ್ ಜೈ ರಾಮ್ ಜೈ ಜೈ ರಾಮ್ ಓಂ ನಮಃ ಶಿವಾಯ ಬೋಲೋ ಭಾರತ್ ಮಾತಾ ಕೀ ಜೈಹೊ ವಂದೇ ಮಾತರಂ ಒಂದೇ ಮಾತರಂ ಜೈಹಿಂದ್ ನಮಸ್ಕಾರಗಳು 🙏🇮🇳🙏🇮🇳🙏🇮🇳,neutral
ಓಂ ನಮಃ ಶಿವಾಯ ಬೋಲೋ ಭಾರತ್ ಮಾತಾ ಕೀ ಜೈಹೊ ವಂದೇ ಮಾತರಂ ಒಂದೇ ಮಾತರಂ ಜೈಹಿಂದ್ ನಮಸ್ಕಾರಗಳು 🙏🇮🇳🙏🇮🇳🙏🇮🇳🙏🇮🇳🙏🇮🇳🙏🇮🇳🙏🇮🇳🙏🇮🇳🙏🇮🇳🙏🇮🇳🙏🇮🇳🙏🇮🇳🙏🇮🇳 ಶ್ರೀರಾಮ್ ಜೈ ರಾಮ್ ಜೈ ಜೈ ರಾಮ್,neutral
Goosebumps ❤,neutral
❤❤❤,neutral
दिनेश ❤❤❤,neutral
Jai Hind 🇮🇳🇮🇳❤,neutral
I am kavitha and i proud of 🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳and army and india  !,positive
I love my India,positive
I Love My India and India army and this song also❤❤❤,positive
I Love my India tooo 🥰❤️❤️😘🇮🇳🇮🇳🇮🇳🕉️🕉️💪💪,positive
Love from kashmir❤❤❤❤,positive
Iiiii,neutral
i love my india❤😍🥰😍,positive
Indian 🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳,neutral
I love my India,positive
",❤❤❤❤❤I love my india",positive
❤❤😊😊🎉🙏🇮🇳🇮🇳🇮🇳🇮🇳🥰,neutral
ஜெய்கின்த்,neutral
🇮🇳❤,neutral
I am From India Arunachal Pradesh! Vande mataram ❤,neutral
From india state maharastra ❤❤❤,neutral
I always get goosebumps when I hear this.,neutral
Vande matharam 😊song super,positive
"Oum Dagur 






Ggjyu",neutral
🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳,neutral
🙏🙏ಕ love my india 👏👏👏👏🙏,positive
I also miss my school 🎒,negative
🥷 🥷🇮🇳🙇,neutral
I love my India ❤❤❤❤❤,positive
Jay hind,neutral
Santosh Kumar das..2023.. Kolkata.. kalighat..800.. UFO.. aleans dusri duniya.. satellite images..15.. August.. vandematram.. ISRO..dr..k..Sivan . 👮👮👮.. CM.. Yogi,neutral
বন্দেমাতরম❤️,neutral
I love INDIA 🇮🇳🇮🇳🇮🇳🇮🇳,positive
Hello🎉,neutral
❤,neutral
This helped me souch to get the chance to participate in my school assembly 😊😊😊,positive
Bengal is going towards Muslim state,neutral
Proud to be an Indian jai hind jai bharat,positive
"Vande Mataram, o my motherland India, i bow to you, bharat mata ki jai❤",neutral
Vandhemaataram  🇮🇳 ❤,neutral
Hi,neutral
Jai hind ❤️❤️❤️🇮🇳🇮🇳🇮🇳,neutral
Very good,positive
Mujhe school ki yaad aane lagi 😢😢,neutral
Gonda video Banaya Hai Achcha hua,neutral
🙏🇮🇳 ਬੰਦੇ ਮਾਤਰਮਂ ਭਾਰਤ ਮਾਤਾ ਜੀ ਦੀ ਜੈ 🇮🇳🙏,neutral
🙏jay siya ram jay hind jay ma bharti🙏🙏,neutral
I love you India 🇮🇳,positive
🇮🇳🇮🇳Jya hind🇮🇳🇮🇳,neutral
❤❤❤,neutral
भारतीय होने पर गर्व ह मुझे । जय हिंद जय भारत ❤❤❤,neutral
From northeast state of India ✨ Nagaland,neutral
Today I am going to sing this song in patriotic song competition at my school,neutral
I don't know why I have tears in my eyes but I proud to born in India this literally give me goosebumps,positive
It’s all patriotic when you realise this every song was one the few reason Pakistan was made.  When Muslims believe that they believe in no God but Allah. This vande matram was forced on them to chant that they Katy to their mother land and now down to Gandhi image and pay homage and recite other Hindu songs,negative
❤,neutral
https://youtube.com/shorts/_pMvsH7BTeI?feature=share4,neutral
Who are here after chandrayan 3 Jay hind 🇮🇳🇮🇳🇮🇳🇮🇳,neutral
If you are from Pakistan we are Indians  but we respect only who have kindness,positive
Chandrayan 3 😇🌍🇮🇳,neutral
Vande matram Vande matram  Vande matram Vande matram Vande matram Vande matram Vande matram Vande matram Vande matram Vande matram Vande matram Vande matram Vande matram Vande matram Vande matram Vande matram Vande matram Vande matram Vande matram Vande matram Vande matram Vande matram Vande matram Vande matram Vande matram Vande matram Vande matram Vande matram,neutral
I love india 🇨🇮,positive
Missing my school 🏫 day,negative
Jai Hind Jai Hind Jai Bharat,neutral
I love India🇮🇳🇮🇳🇮🇳🇮🇳❤❤❤,positive
ಓಂ ನಮಃ ಶಿವಾಯ ಬೋಲೋ ಭಾರತ್ ಮಾತಾ ಕೀ ಜೈಹೊ ವಂದೇ ಮಾತರಂ ಒಂದೇ ಮಾತರಂ ಜೈಹಿಂದ್ ನಮಸ್ಕಾರಗಳು ಬೋಲೋ ಭಾರತ್ ಮಾತಾ ಕೀ ಜೈಹೊ ವಂದೇ ಮಾತರಂ ಒಂದೇ ಮಾತರಂ ಜೈಹಿಂದ್ ನಮಸ್ಕಾರಗಳು ಬೋಲೋ ಭಾರತ್ ಮಾತಾ ಕೀ ಜೈಹೊ ವಂದೇ ಮಾತರಂ ಒಂದೇ ಮಾತರಂ ಜೈಹಿಂದ್ ನಮಸ್ಕಾರಗಳು ಬೋಲೋ ಭಾರತ್ ಮಾತಾ ಕೀ ಜೈಹೊ ವಂದೇ ಮಾತರಂ ಒಂದೇ ಮಾತರಂ ಜೈಹಿಂದ್ ನಮಸ್ಕಾರಗಳು 🙏🇮🇳🙏🇮🇳🙏🇮🇳🙏🇮🇳🙏🇮🇳🙏🇮🇳🙏🇮🇳🙏🇮🇳🙏🇮🇳🙏🇮🇳🙏🇮🇳🙏🇮🇳🙏🇮🇳 ಬೋಲೋ ಭಾರತ್ ಮಾತಾ ಕೀ ಜೈಹೊ ವಂದೇ ಮಾತರಂ ಒಂದೇ ಮಾತರಂ ಜೈಹಿಂದ್ ನಮಸ್ಕಾರಗಳು ಬೋಲೋ ಭಾರತ್ ಮಾತಾ ಕೀ ಜೈಹೊ ವಂದೇ ಮಾತರಂ ಒಂದೇ ಮಾತರಂ ಜೈಹಿಂದ್ ನಮಸ್ಕಾರಗಳು ಬೋಲೋ ಭಾರತ್ ಮಾತಾ ಕೀ ಜೈಹೊ ವಂದೇ ಮಾತರಂ ಒಂದೇ ಮಾತರಂ ಜೈಹಿಂದ್ ನಮಸ್ಕಾರಗಳು 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,neutral
🎉❤ wow,positive
Jai Hind,neutral
Jai Hind,neutral
Memories child moment.,neutral
Jai hind,neutral
Xbnxnfjfbhskdjdkdjdxjjxkskdhdpfjjxhcjdhcjficgogkcgdhdjkdkfkfjdkdlfofkgkggocghffjfjfjf,neutral
Bvvcffkdjdjkdjfkfjdddnkdnddndfcjnfnfmfncfdjcjcnjdfnnddkdkfldkdfkfjnfknfpfjcsekbdfjcjjcmcbdnd,neutral
From UP can't understand the lyrics still this song brings tears. Glory to the motherland,positive
We can't understand the language(Bengali) but we can feel the vibes and goosebumps,neutral
Bengal has played a great role in both national song and the anthem. Proud to be a Bengali and an Indian.,positive
Appreciate for the kindness 🙏🏻💯 But If he can't define his own country by proud that he is from India its mean nothing. I respect Punjab and also I study at Khalsa school in Delhi . I always go for seva in Bangla sahib . But it hurts that you cant say you are from India . Proud to be an Indian🙏🏻,positive
रदमतधमघजझ,neutral
My school say to learn no learning 4 round ofvschool,negative
Play this song 0.75 x speed 😊,positive
❤❤,neutral
Vande matram,neutral
💻📲📱⌚⌨️🖥🖨💿💾( ͡° ͜ʖ ͡°)=ε✄( ͡° ͜ʖ ͡°)=ε✄,neutral
"Garav hai Indian hone ka  🇮🇳 
Jai shree ram 🚩...",neutral
Sd sdzzd3sszp😢,neutral
Proud to be an Indian😊,positive
This song is continuously playing in our school -st annes,positive
I love this song,positive
Listening to this always a goosebumps moment .... India ❤️,neutral
I love you Indi 🇮🇳 but i respect all country 🇵🇦🇯🇵🇱🇷🇻🇨etc 😊😅,positive
Proud to be indian😢🇮🇳,positive
Hai hind,neutral
🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳,neutral
"I as indian believe and realise that nobody wanted to be seperated from India except some of the politicians. 
Now as social media is adding fuel to the fire of the politicians .",negative
"I love still goosebumps on kids in my country who is por rich not got any awards like bolly wod or proud which western 1947 thinks.we dont need 10,15 only celebrities only kings queens

We all are the queen and king of or patriotism from family 
Mother father ..
Geeta,bible,quran all is one..",positive
Actually this was never played in our school in our school Jana gana mana was played,negative
We Are One!,neutral
Goosebumps 😢😢,neutral
Heart touching ♥️,neutral
JAI HIND 🇮🇳,neutral
🇮🇳,neutral
Jai HIND,neutral
Jai hind,neutral
❤️❤️❤️❤️❤️🇮🇳🇮🇳🇮🇳🇮🇳,neutral
"I am Indian and I love this song ❤️🇮🇳
Jai Hind ❤️",positive
😍😍😍,neutral
Jay hind🇮🇳,neutral
BHARAT MATA KI JAI🇮🇳,neutral
❤ 🇮🇳 Jai Hind 🇮🇳🇮🇳🙏🏻 #bharatmatakijai #jaihind #india #bharat,neutral
"Είμαι από την Ελλάδα αλλά μου άρεσε πολύ αυτός ο εθνικός ύμνος, τον απόλαυσα στον εθνικό ύμνο",neutral
❤❤❤😊😊😊 0:36 ❤❤❤🥰🥰🥰😍😍😘☺🤩🤩🤗🤗 0:57,neutral
❤️,neutral
"https://youtube.com/shorts/XUCKjaI3sDI?feature=share4

Great Indian Flag with AR REHMAN SIR VOICE",positive
"I'm not from a state of India, I'm from India.
Indian first and then my state comes next.
JAI HIND JAI BHARAT🇮🇳🇮🇳🇮🇳",neutral
I love h8gh n mediating tones of Ar.rehman,positive
To my gf dr.neha and paw bhaji,neutral
Very congratulations to Bakhtiar Aunty 4 new principalship😂😂😂😂,positive
Jai Pakistan ✨,neutral
☀️🇮🇳🌹,neutral
feeling goosebumps❤,positive
🤣🤣,neutral
"मुझे गर्व है की, मैने एक भारतीय हूं 🙏 वंदे मातरम 🙏",neutral
I am not of any religion but an indian jai hind bharat mata ki jai❤❤,neutral
বন্দেমাতরম ❤️🙏🏻🇮🇳,neutral
I love india 🤞🤞,positive
LoL 🤣,positive
"Almost Everybody Is Telling Their States or Places From Where They Belong.

I Belong To India 🇮🇳 Hindustan 🇮🇳 Bharat.

And It Gives Me An Immense Proud To Be An Indian.

Bharat Mata Ki Jai
Vande Matram 
JAI HIND 🙏",positive
जय हिन्द 🇮🇳🙏🇮🇳,neutral
I am madhya pradeshian,neutral
Hi Sai good morning 🌄😅🎉🎉🎉🇮🇳👍🙏🌹🤩🌈,positive
Slow tempo version of this please 😭😭😭,positive
I'm Indian,neutral
I am a Himachali and I am proud to be an India 🇮🇳,positive
I'm a Kashmir muslim but I love my country jai hind,positive
Wo Kashmir ki vadiyon se kanyakumari ke rasto tak Bharat Bhoomi tujhe pranam jiski mitti m khel k hum bade hue asi matrabhoomi ko mera pranam,neutral
I lave,neutral
I'm  a kanniyakumari  I love with my india and Indian Army. India ❤❤❤❤,positive
Jay Shree RAM🚩🚩,neutral
Jay Bharat 🇮🇳🇮🇳,neutral
Jay Hind 🇮🇳🇮🇳,neutral
🇮🇳🙏🔥,neutral
❤ my india❤❤❤,neutral
I'm proud to be an Indian ❤❤❤❤❤❤❤❤❤❤❤,positive
Sita ram🙏👌🙏🙏,neutral
I  love india jai hind,positive
I'm from Assam. I love my India desh,positive
Jai Hind ❤❤❤❤❤❤,neutral
Hai hind,neutral
🇮🇳❤️🙏,neutral
Happy birthday 🎈🎈🎈,positive
Beautiful.......🙏🌹🕉........,neutral
Bn,neutral
I am proud of indian,positive
🇮🇳🇮🇳🇮🇳,neutral
Me proud to be indian and I love  India Jay hind❤,positive
Hindustan zindavad,neutral
🏳️🏳️🏳️🏳️🏳️🏳️🏳️🏳️🏳️🏳️🏳️🏳️🏳️😊,neutral
I am from India harayana hisar I love my india,positive
https://youtube.com/shorts/LEYekyGEITg?feature=share,neutral
😂😂😂... Vande mataram is not our national anthem,neutral
Vande Mataram should have been the national anthem,neutral
U,neutral
Jai 🕉️🕉️,neutral
Jai hind,neutral
I love india x,positive
I love India🇮🇳 as much as i love Bangladesh🇧🇩. I always be connected with my Akhand Bharat🇮🇳. Jay Sree Ram❤️🙏🙏,positive
"Though i am From Bangladesh ❤️,this song connect to my root.. Love you Ma Akhand bharat",positive
Tsbf,neutral
Jai hind,neutral
"When I was  in  lndia  on  Vividh 
Bharati  Radio  station  i always  heard  this  patriotic  song❤
""Vande  Mataram 🎉 Jay  Ho ♥",neutral
I am  from  Gujarat  State.  This  song  was  my  school days   everyday mostly  sung  by the  student  after  prayer 🙏.,neutral
غزوہ ہند ❤❤,neutral
India murdabad,neutral
Proud to be an Indian Jai Hind,positive
Hello it is Ashmil’s child “ I am Indian but I don’t know the song 0:43,neutral
भारत हमारा सबसे प्यारा हिंदुस्तान,neutral
I am Bulgarian and love India! Jai Bharat! Long live India and its people!,positive
Proud of being a Indian,positive
Respect to our neighbor country from 🇵🇰. We never hate Sanata religions we respect all religions. It's few Indians who are anti abrahmic religions.,positive
Kisi na pucha 😂,neutral
Rishi Bankim Chandra Chattopadhaya ❤‍🔥,neutral
I love my Country... my Mother land my Bharat Maa❤.... I wish I could've join airforce.... anyone come be it khalistani aur be it any one my country is standing proudly and will always defeat them. Oh India I love you.... Modi ji Yogi ji a d all patriotic people thanks to you all for being there. All freedom fighter who gave their lives for country.,positive
Andhraa,neutral
Very nice song of India,positive
Jai hind,neutral
India🔥🔥🔥😎😎,neutral
🫡🫡🫡,neutral
Om om,neutral
Mera bharath mahan,neutral
Jai hind,neutral
Bivi ಅವ್ವ,neutral
I am from India jai hind,neutral
Jay hind,neutral
Tripura Im very happy jai hind,positive
I love Indian army,positive
I love 💓 my india,positive
Good morning,positive
https://youtu.be/Dsec9C0bKD8,neutral
#ISTANDFORPEACE😌🇮🇳,neutral
I love my India....,positive
❤,neutral
"i am Bangladeshi but i love indians 🇮🇳❤️
Love from Bangladesh 🇧🇩❤️",positive
Our National Song-Vande maataram,neutral
"I am Indian, I love Indian.",positive
Dssdd,neutral
Pj,neutral
Anyone heard it at 0.75x? India🇮🇳❤️,neutral
Thanks🙏🙏,neutral
Car 🚨,neutral
In which place,neutral
Very good attitude Jai ho Dev Bhoomi vichar Manch Jai Bharat Mata Jai ho 🙏🙏🙏🌄🌄🌄🇮🇳🇮🇳🇮🇳💚💚💚💛💛💛🧡🧡🧡🌹🌹🌹💜💜💜💐💐💐💙💙💙🕉️🕉️🕉️💜💐 PM Narendra Modi Sarkar ❤️💗💙🌹🧡💛💛 Om Shanti 💚 vishwashanti Om Shanti 💚💚💚 Jagdish Dixit Uttarakhand only self 🙏❤️ Jay Bharat Jay Ho 🌹🌹🌹 Thanks God 🙏❤️🌹🌹🌹 good day to all friends,positive
Proud to be an Indian,positive
Akhand bharat.... 🚩 Jai Shree Ram..🚩✨ vande matram 🚩🚩🚩🚩,neutral
India is my jann,neutral
"Vande mataram 
Can i know the names of  singers in the song.",neutral
https://youtube.com/shorts/-Xr4zO160sc?feature=share,neutral
भारत माता की जय,neutral
🙏🙏🙏,neutral
Jai Hind,neutral
Bhot bhot lianat Mubarak,neutral
So beautiful song,positive
I am form up and I love ❤❤❤❤ this song,positive
Vande matram song is very beautiful,positive
great song,positive
I'm learn this song🎵 of vanda mathram thank you🌹🙏🙏🙏🙏🌹🌹🌹🌹🌹🌹,positive
Jai hind 🇮🇳,neutral
Bharat mata ki jai.,neutral
Happy Republic To All Jai Hind🇮🇳🇮🇳🇮🇳🇮🇳❤️❤️❤️❤️,positive
Mthun Raan ക്ക്. രഡ്സ്‌ഫ്സ്ഫയിഫ്,neutral
Jaihind 🇮🇳,neutral
"Buttiful   Iam  Iove india  this is a butteful , wonderful song",positive
All ways i love INDIA,positive
Jay hind.      Bhojalal gawli chouk nanded maharashtra,neutral
🥰🇮🇳🇮🇳🇮🇳🇮🇳,neutral
"Proud to be an Indian 🇮🇳🇮🇳🇮🇳
Jai Hind !!!",positive
I love it,positive
Happy republic day,positive
I am from India I love Indian armu,positive
I'm from uttarakhand...but I'm not uttarakhandi I'm Indian....and I love my india,positive
rerty14yRLEUklu,neutral
Jai hind,neutral
🌪🎆🎇🌇🌆🏙🌃🌌🌉🌁,neutral
Ty,positive
🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃🫃,neutral
जय हिन्द जय भारत,neutral
जय माता दी,neutral
I am a indian🇮🇳 from Rajasthan I ❤ my India🇮🇳 jai hind vande mathram,neutral
वंदे मातरम,neutral
"I, love u my india 🇮🇳🙏",positive
"भारतीय सेना के जवान देश की सरहद पर दिन रात तैनात रहते हैं, तभी हम सभी देश के अन्दर अच्छे से रह पाते हैं। इंडियन आर्मी के जवान जो अपनी सभी इच्छाओं को त्याग कर, अपना घर, परिवार, रिश्तेदार और गांव सभी को छोड़कर बिना किसी दुःख की चिंता किये, देश की सीमा की रक्षा करते हैं। एक इंडियन आर्मी के जवान का जीवन बहुत ही कठिनाइयों भरा होता है।",neutral
"Jai hind ,❤️❤️❤️🙏🇮🇳",neutral
Mind blowing,neutral
Very nice song 👌,positive
Jai hind,neutral
Nice Relaxing  song jai hind  ❤🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳,positive
I love  my India,positive
A Very energetic and patriotic song it is,positive
Jai hind,neutral
Mp,neutral
I AM FROM KHANDWA,neutral
"Love from Pakistan ❤️
I was studying and vande matram was once national anthem of subcontinent..Very Nice 💞",positive
Vande matram 🇮🇳🇮🇳❣️❣️,neutral
🙏🏻🌸🌸🇮🇳,neutral
in 2023 2026    flh ho,neutral
6,neutral
Radio morning,neutral
School days.,neutral
🥰🥰🥰🥰🥰🥰🥰,neutral
I  am form chhatishgarh  I love vande maataram  jai 🇮🇳🇮🇳🇮🇳🇮🇳🙏🙏🙏🙏🙏🙏,positive
My ringtone,neutral
Naa desham idi,neutral
Iam Indian from odisha and I like this song,positive
Sysstumm,neutral
Hii di my name Pulkit vade Matram main bola tha na pulkit,neutral
"Love my west Bengal
Love my 🇮🇳💕",positive
"1 like for INDIAN ARMY🇮🇳😎😎
👇👇👇👇",positive
Iam Pakistani but I love this song 😍 from heart vande Mataram 🇮🇳,positive
I am Indian from Maharashtra .. Jai Hind. Vande Mataram.,neutral
i was reading my history book and it said that this song was encouraging muslims to be expelled. Ive not heard of that in any of these lyrics. A good example of history being distorted for a country's gain and brainwashign children,positive
I love india 💖💖 jai hind jai bharat 🇮🇳🇮🇳,positive
"This is reverse of Iqbal's ""Tarana e Hind""",neutral
"🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🕉️🕉️🕉️🕉️🕉️🕉️🕉️🕉️🕉️🕉️🕉️🌺🔔🌺🔔🌺🔔🌺🔔🌺🔔🌺, ಬೋಲೋ ಭಾರತ್ ಮಾತಾ ಕೀ ಜೈಹೊ ವಂದೇ ಮಾತರಂ ಒಂದೇ ಮಾತರಂ ಜೈಹಿಂದ್ ನಮಸ್ಕಾರಗಳು ಬೋಲೋ ಭಾರತ್ ಮಾತಾ ಕೀ ಜೈಹೊ ವಂದೇ ಮಾತರಂ ಒಂದೇ ಮಾತರಂ ಜೈಹಿಂದ್ ನಮಸ್ಕಾರಗಳು ಬೋಲೋ ಭಾರತ್ ಮಾತಾ ಕೀ ಜೈಹೊ ವಂದೇ ಮಾತರಂ ಒಂದೇ ಮಾತರಂ ಜೈಹಿಂದ್ ನಮಸ್ಕಾರಗಳು ಬೋಲೋ ಭಾರತ್ ಮಾತಾ ಕೀ ಜೈಹೊ ವಂದೇ ಮಾತರಂ ಒಂದೇ ಮಾತರಂ ಜೈಹಿಂದ್ ನಮಸ್ಕಾರಗಳು ಬೋಲೋ ಭಾರತ್ ಮಾತಾ ಕೀ ಜೈಹೊ ವಂದೇ ಮಾತರಂ ಒಂದೇ ಮಾತರಂ ಜೈಹಿಂದ್ ನಮಸ್ಕಾರಗಳು ಬೋಲೋ ಭಾರತ್ ಮಾತಾ ಕೀ ಜೈಹೊ ವಂದೇ ಮಾತರಂ ಒಂದೇ ಮಾತರಂ ಜೈಹಿಂದ್ ನಮಸ್ಕಾರಗಳು ಬೋಲೋ ಭಾರತ್ ಮಾತಾ ಕೀ ಜೈಹೊ ವಂದೇ ಮಾತರಂ ಒಂದೇ ಮಾತರಂ ಜೈಹಿಂದ್ ನಮಸ್ಕಾರಗಳು ಬೋಲೋ ಭಾರತ್ ಮಾತಾ ಕೀ ಜೈಹೊ ವಂದೇ ಮಾತರಂ ಒಂದೇ ಮಾತರಂ ಜೈಹಿಂದ್ ನಮಸ್ಕಾರಗಳು ಬೋಲೋ ಭಾರತ್ ಮಾತಾ ಕೀ ಜೈಹೊ ವಂದೇ ಮಾತರಂ ಒಂದೇ ಮಾತರಂ ಜೈಹಿಂದ್ ನಮಸ್ಕಾರಗಳು ಬೋಲೋ ಭಾರತ್ ಮಾತಾ ಕೀ ಜೈಹೊ ವಂದೇ ಮಾತರಂ ಒಂದೇ ಮಾತರಂ ಜೈಹಿಂದ್ ನಮಸ್ಕಾರಗಳು ಬೋಲೋ ಭಾರತ್ ಮಾತಾ ಕೀ ಜೈಹೊ ವಂದೇ ಮಾತರಂ ಒಂದೇ ಮಾತರಂ ಜೈಹಿಂದ್ ನಮಸ್ಕಾರಗಳು ಬೋಲೋ ಭಾರತ್ ಮಾತಾ ಕೀ ಜೈಹೊ ವಂದೇ ಮಾತರಂ ಒಂದೇ ಮಾತರಂ ಜೈಹಿಂದ್ ನಮಸ್ಕಾರಗಳು ಬೋಲೋ ಭಾರತ್ ಮಾತಾ ಕೀ ಜೈಹೊ ವಂದೇ ಮಾತರಂ ಒಂದೇ ಮಾತರಂ ಜೈಹಿಂದ್ ನಮಸ್ಕಾರಗಳು 🙏🇮🇳🙏🇮🇳🙏🇮🇳🙏🇮🇳🙏🇮🇳🙏🇮🇳🙏🇮🇳🙏🇮🇳🙏",neutral
I am from Uttar Pradesh and I love my India🇮🇳🇮🇳🇮🇳,positive
Jay Hind,neutral
"Feeling proud to be an Indian
Jai Hind 🇮🇳",positive
i love my india❤️❤️❤️🇮🇳🇮🇳🇮🇳,positive
😯,neutral
🇮🇳🇮🇳🙏💖💖,neutral
I LOVE U 💓😘💓💓💓💓💓💓,positive
Jay hind,neutral
When I hear this song I remember an army,neutral
hamen achcha Laga,neutral
Love my india 🙇 🤩💝,positive
Jai hind,neutral
"“India is, the cradle of the human race, the birthplace of human speech, the mother of history, the grandmother of legend, and the great grandmother of tradition. our most valuable and most instructive materials in the history of man are treasured up in India only.”",positive
Это гимн Индии,neutral
Proud to be Indian,positive
Why this is only Half song 😕,neutral
सुपर हिट ❤️❤️❤️❤️❤️❤️,neutral
"Soul ,heart ,mind inspired by this song. It is a patriotic 🧲 magnet which attract d indians to fight",positive
"I love this song soooooooo much 😭🖤. It's not only a song but also it's a important part of Indian history.
How cute it is!!!!!
Vande mataram. I'm not Indian, but when I hear this song it makes me cry, I'm in love with this song🖤🥺.
From Bangladesh, I love India, love Indian history, love vande mataram song 🖤💥.",positive
"Very,niche,,song",neutral
Dr Ms Neena Gupta🌏🌎🌍🕊🔥🌻🕯🗯,neutral
Every thing,neutral
Jai Hind 🇮🇳♥️,neutral
🇮🇳👌,neutral
"This song by Bankim Chandra Chattopadhyay is taken from Anandamath(1882), often called the first patriotic work of literature in the country, taking the theme of Sanyasi Revolution. The novel beautifully for one of the first times, rendered the idea of a Nation by comparing the birthland with a mother who in turn, is a reflection of the Devi Shakti in 3 forms as the Hindus worship- Jagadatri (symbolic of peace and stability, what the country once used to be), Kali(symbolic of turmoil, what the country was going through under the British Raj) and Durga (symbolic of a new energy and a victory of good over Evil, what the nation will become in the future by achieving independence).",positive
Jai hind. Bharat mata ki jai,neutral
"I am Indian army 🇮🇳
I love my india 🇮🇳
And you?",positive
Iam indian. ❤,neutral
I am from Kerala I love this song very much Jai hind,positive
❤,neutral
वन्देमातरम 🙏🙏,neutral
India aur Pakistan dost ban jao chodo ladai,negative
Vande mataram song download free,positive
I am 🇮🇳INDIAN,neutral
I am an Indian and I love my Indian army and India! Jai hind,positive
